Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Nervous System,Neuromyotonia,Isaacs-Mertens syndrome,S,,,305719002,,,
Nervous System,Neuromyotonia,Issacs' syndrome,S,,,305719002,,,
Blood,Immune thrombocytopenia,ITP,A,,,13172003,,,
Nervous System,Intermediate uveitis,IU,A,,,314429009,,,
Digestive system,Crohn's disease,Jejunoileitis,T,,,34000006,,,
Musculoskeletal,Juvenile Rheumatoid Arthritis,JIA,A,,,410795001,,,
Musculoskeletal,Juvenile Rheumatoid Arthritis,JRA,A,,,410795001,,,
Musculoskeletal,Juvenile Rheumatoid Arthritis,Juvenile arthritis,S,,,410795001,,,
Pancreas,Diabetes mellitus type 1,Juvenile diabetes,S,,,46635009,,,
Musculoskeletal,Myositis,Juvenile myositis,S,,,26889001,,,
Musculoskeletal,Lipomatosis dolorosa,Juxta-Articular adiposis dolorosa,S,,,71404003,,,
Vascular system,Acute febrile mucocutaneous lymph node syndrome,Kawasaki syndrome,S,,,75053002,,,
Glands,Sjögren's disease,Keratoconjunctivitis sicca,S,,,83901003,,,
Nervous System,Opsoclonus-myoclonus syndrome,Kinsbourne syndrome,S,,,230350000,,,
Blood,Immunoglobulin G4 related disease,Küttner's tumor,S,,,1.07433E+16,,,
Musculoskeletal,Eaton-Lambert syndrome,Lambert-Eaton syndrome,S,,,56989000,,,
Systemic,Systemic sclerosis with limited cutaneous involvement,lcSSc,A,,,298285004,,,
Vascular system,Hypersensitivity angiitis,LCV,A,,,60555002,,,
Musculoskeletal,Eaton-Lambert syndrome,LEMS,A,,,56989000,,,
Skin,Vitiligo,Leukoderma,S,,,56727007,,,
Nervous System,Balo concentric sclerosis,Leukoencephalitis periaxialis concentric,S,,,230380005,,,
Vascular system,Linear IgA dermatosis,Linear IgA bullous disease,S,,,95330001,,,
Musculoskeletal,Lipomatosis dolorosa,Lipomatosis dolorosa morbus dercum's,S,,,71404003,,,
Systemic,Chronic post-COVID-19 syndrome,Long COVID,S,,,1119304009,,,
Systemic,Systemic lupus erythematosus,Lupus,S,,,55464009,,,
Blood,Antiphospholipid syndrome,Lupus anticoagulant syndrome,S,,,26843008,,,
Musculoskeletal,Chronic Lyme disease,Lyme Borreliosis,S,,,33937009,,,
Vascular system,Acute febrile mucocutaneous lymph node syndrome,Lymph node syndrome,S,,,75053002,,,
Pancreas,Autoimmune pancreatitis,Lymphoplasmocytic sclerosing pancreatitis,S,,,448542008,,,
Skin,Autoimmune gastritis,Macrocytic Anemia,S,,,84027009,,,
Systemic,Mixed collagen vascular disease,MCTD,A,,,398049005,,,
Blood,Immunoglobulin G4 related disease,Mediastinal fibrosis,S,,,1.07433E+16,,,
Skin,Autoimmune gastritis,Megaloblastic Anemia,S,,,84027009,,,
Nervous System,Myasthenia gravis,MG,A,,,91637004,,,
Blood,Immunoglobulin G4 related disease,Mikulicz's syndrome,S,,,1.07433E+16,,,
Musculoskeletal,Stiff-person syndrome,Moersch-Woltman syndrome,S,,,5217008,,,
Nervous System,Myelin oligodendrocyte glycoprotein antibody-associated disease,MOG,A,,,1237194006,,,
Nervous System,Myelin oligodendrocyte glycoprotein antibody-associated disease,MOG antibody disease,S,,,1237194006,,,
Vascular system,Behçet's syndrome,Morbus Adamandiades-Behçet,S,,,310701003,,,
Vascular system,Moyamoya disease,Moya-moya disease,S,,,69116000,,,
Vascular system,Microscopic polyangiitis,MPA,A,,,1144805008,,,
Nervous System,Multiple Sclerosis,MS,A,,,24700007,,,
Vascular system,Acute febrile mucocutaneous lymph node syndrome,Mucocutaneous lymph node syndrome,S,,,75053002,,,
Skin,Benign mucous membrane pemphigoid,Mucous membrane pemphigoid,S,,,34250006,,,
Blood,Immunoglobulin G4 related disease,Multifocal fibrosclerosis,S,,,1.07433E+16,,,
Glands,Polyglandular autoimmune syndrome type 2,Multiple endocrine deficiency syndrome  type 2,S,,,83728000,,,
Nervous System,Myelin oligodendrocyte glycoprotein antibody-associated disease,Myelin oligodendrocyte glycoprotein disease,S,,,1237194006,,,
Nervous System,Neuromyelitis optica,Neuromyelitis optica spectrum Disorder,S,,,25044007,,,
Nervous System,Neuromyelitis optica,NMO,A,,,25044007,,,
Nervous System,Neuromyelitis optica,NMOSD,A,,,25044007,,,
Nervous System,Neuromyotonia,NMT,A,,,305719002,,,
Pancreas,Autoimmune pancreatitis,Nonalcoholic destructive pancreatitis,S,,,448542008,,,
Nervous System,Tolosa-Hunt syndrome,Non-specific inflammation of the cavernous sinus,S,,,95794005,,,
Nervous System,Tolosa-Hunt syndrome,Non-specific inflammation of the superior orbital fissure,S,,,95794005,,,
Digestive system,Celiac disease,Nontropical sprue,S,,,396331005,,,
Nervous System,Steroid-responsive encephalopathy associated with autoimmune thyroiditis,Nonvasculitic autoimmune meningoecephalitis,S,,,771271000,,,
Skin,Benign mucous membrane pemphigoid,Ocular pemphigoid,S,,,34250006,,,
Nervous System,Opsoclonus-myoclonus syndrome,OMA syndrome,S,,,230350000,,,
Nervous System,Opsoclonus-myoclonus syndrome,OMS,A,,,230350000,,,
Nervous System,Opsoclonus-myoclonus syndrome,Opsoclonus myoclonus syndrome,S,,,230350000,,,
Nervous System,Opsoclonus-myoclonus syndrome,Opsoclonus-myoclonus-ataxia syndrome,S,,,230350000,,,
Nervous System,Neuromyelitis optica,Optic neuromyelitis,S,,,25044007,,,
Nervous System,Neuromyelitis optica,Opticomyelitis,S,,,25044007,,,
Nervous System,Neuromyelitis optica,Opticospinal MS,S,,,25044007,,,
Blood,Immunoglobulin G4 related disease,Ormond's disease,S,,,1.07433E+16,,,
Nervous System,POEMS syndrome,Osteosclerotic myeloma,S,,,79268002,,,
Bladder,Chronic interstitial cystitis,Painful bladder syndrome,S,,,197834003,,,
Nervous System,Tolosa-Hunt syndrome,Painful Ophthalmoplegia,S,,,95794005,,,
Musculoskeletal,Palindromic rheumatism,Palindromic rheumatism syndrome,S,,,50442003,,,
Vascular system,Polyarteritis nodosa,PAN,A,,,155441006,,,
Nervous System,Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,PANDAS,A,,,446682003,,,
Nervous System,Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,PANS,A,,,446682003,,,
Systemic,Fasciitis with eosinophilia syndrome,Pansclerotic morphea with deep fascial involvement,S,,,24129002,,,
Nervous System,Paraneoplastic cerebellar degeneration,Paraneoplastic cerebellar ataxia,S,,,192877007,,,
Nervous System,Paraneoplastic cerebellar degeneration,Paraneoplastic neurological syndrome,S,,,192877007,,,
Nervous System,Opsoclonus-myoclonus syndrome,Paraneoplastic opsoclonus-myoclonus,S,,,230350000,,,
Nervous System,Opsoclonus-myoclonus syndrome,Paraneoplastic opsoclonus-myoclonus-ataxia syndrome,S,,,230350000,,,
Nervous System,Paraneoplastic cerebellar degeneration,Paraneoplastic syndrome,S,,,192877007,,,
Glands,Graves' disease,Parry disease,S,,,353295004,,,
Nervous System,Neuralgic amyotrophy,Parsonage-Turner Syndrome,S,,,26609002,,,
Glands,Polyglandular autoimmune syndrome type 3,PAS 3,A,,,449731009,,,
Glands,Polyglandular autoimmune syndrome type 3,PAS III,A,,,449731009,,,
Liver,Primary biliary cholangitis,PBC,A,,,31712002,,,
Bladder,Chronic interstitial cystitis,PBS,A,,,197834003,,,
Nervous System,Paraneoplastic cerebellar degeneration,PCA,A,,,192877007,,,
Nervous System,Paraneoplastic cerebellar degeneration,PCD,A,,,192877007,,,
Nervous System,Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,Pediatric Acute-onset Neuropsychiatric Syndrome,S,,,446682003,,,
Musculoskeletal,Juvenile Rheumatoid Arthritis,Pediatric rheumatic disease,S,,,410795001,,,
Skin,Herpes gestationis,Pemphigoid gestationis,S,,,86081009,,,
Nervous System,POEMS syndrome,PEP syndrome,S,,,79268002,,,
Blood,Immunoglobulin G4 related disease,Periaortitis,S,,,1.07433E+16,,,
Blood,Immunoglobulin G4 related disease,Periarteritis,S,,,1.07433E+16,,,
Nervous System,Mooren's ulcer,Peripheral Ulcerative Keratitis,S,,,22440001,,,
Nervous System,Intermediate uveitis,Peripheral uveoretinitis,S,,,314429009,,,
Skin,Herpes gestationis,PG,A,,,86081009,,,
Glands,Polyglandular autoimmune syndrome type 2,PGA 2,A,,,83728000,,,
Glands,Polyglandular autoimmune syndrome type 2,PGA-II,A,,,83728000,,,
Skin,Autoimmune urticaria,Physical urticaria,S,,,402397006,,,
Skin,Acute lichenoid pityriasis,PLEVA,A,,,86487001,,,
Nervous System,Paraneoplastic cerebellar degeneration,PNS,A,,,192877007,,,
Vascular system,Polyarteritis nodosa,Polyarteritis,S,,,155441006,,,
Musculoskeletal,Relapsing polychondritis,Polychondropathia,S,,,72275000,,,
Glands,Polyglandular autoimmune syndrome type 2,Polyglandular deficiency syndrome type 2,S,,,83728000,,,
Glands,Polyglandular autoimmune syndrome type 3,Polyglandular deficiency syndrome type 3,S,,,449731009,,,
Nervous System,POEMS syndrome,Polyneuropathy-organomegaly-endocrinopathy-M protein-skin lesions,S,,,79268002,,,
Nervous System,Opsoclonus-myoclonus syndrome,POMA syndrome,S,,,230350000,,,
Systemic,Chronic post-COVID-19 syndrome,Post-acute COVID-19,S,,,1119304009,,,
Systemic,Chronic post-COVID-19 syndrome,Post-Acute Sequelae of COVID-19,S,,,1119304009,,,
Heart,Postmyocardial infarction syndrome,Post-cardiac injury syndrome,S,,,66189004,,,
Heart,Postmyocardial infarction syndrome,Post-myocardial infarction syndrome,S,,,66189004,,,
Blood,Pure red cell aplasia,PRCA,A,,,50715003,,,
Glands,Autoimmune oophoritis,Premature ovarian failure due to autoimmune oophoritis,S,,,721198006,,,
Blood,Pure red cell aplasia,Primary acquired PRCA,S,,,50715003,,,
Blood,Pure red cell aplasia,Primary acquired pure red cell aplasia ,S,,,50715003,,,
Blood,Autoimmune neutropenia,Primary autoimmune neutropenia,S,,,234425008,,,
Skin,Progressive hemifacial atrophy,Progressive facial hemiatrophy,S,,,718224004,,,
Vascular system,Moyamoya disease,Progressive intracranial arterial occlusion,S,,,69116000,,,
Vascular system,Moyamoya disease,Progressive intracranial occlusive arteriopathy,S,,,69116000,,,
Musculoskeletal,Psoriatic arthritis,PsA,A,,,156370009,,,
Liver,Primary sclerosing cholangitis,PSC,A,,,197441003,,,
Nervous System,Neuromyotonia,Quantal squander syndrome,S,,,305719002,,,
Vascular system,Raynaud's phenomenon,Raynaud disease,S,,,356198000,,,
Vascular system,Raynaud's phenomenon,Raynaud's disease,S,,,356198000,,,
Musculoskeletal,Reactive arthritis,ReA,A,,,201736002,,,
Musculoskeletal,Reactive arthritis,Reactive arthritis triad,S,,,201736002,,,
Musculoskeletal,Relapsing polychondritis,Recurrent polychondritis,S,,,72275000,,,
Vascular system,Retinocochleocerebral vasculopathy,RED-M,A,,,702575003,,,
Musculoskeletal,Relapsing polychondritis,Relapsing perichondritis,S,,,72275000,,,
Musculoskeletal,Relapsing polychondritis,Relapsing polyneuropathy,S,,,72275000,,,
Nervous System,Restless legs,Restless leg syndrome,S,,,32914008,,,
Vascular system,Retinocochleocerebral vasculopathy,Retinopathy-encephalopathy-deafness associated microangiopathy,S,,,702575003,,,
Blood,Immunoglobulin G4 related disease,Retroperitoneal fibrosis,S,,,1.07433E+16,,,
Systemic,Rheumatic fever,Rheumatic arthritis,S,,,58718002,,,
Blood,Immunoglobulin G4 related disease,Riedel's thyroiditis,S,,,1.07433E+16,,,
Skin,Progressive hemifacial atrophy,Romberg's syndrome,S,,,718224004,,,
Vascular system,Rheumatoid vasculitis,RV,A,,,400054000,,,
Skin,Benign mucous membrane pemphigoid,Scarring pemphigoid,S,,,34250006,,,
Glands,Polyglandular autoimmune syndrome type 2,Schmidt syndrome,S,,,83728000,,,
Musculoskeletal,Schnitzler syndrome,Schnitzler's syndrome,S,,,402415001,,,
Systemic,Systemic sclerosis,Scleroderma,S,,,89155008,,,
Musculoskeletal,Transverse myelitis,Secondary acute transverse myelitis,S,,,16631009,,,
Vascular system,Raynaud's phenomenon,Secondary Raynaud's,S,,,356198000,,,
Systemic,Mixed collagen vascular disease,Sharp Syndrome,S,,,398049005,,,
Nervous System,POEMS syndrome,Shimpo syndrome,S,,,79268002,,,
Systemic,Fasciitis with eosinophilia syndrome,Shulman syndrome,S,,,24129002,,,
Musculoskeletal,Inclusion Body Myositis,sIBM,A,,,72315009,,,
Vascular system,Retinocochleocerebral vasculopathy,SICRET,A,,,702575003,,,
Systemic,Systemic lupus erythematosus,SLE,A,,,55464009,,,
Vascular system,Retinocochleocerebral vasculopathy,"Small infarctions of cochlear, retinal and encephalic tissue",S,,,702575003,,,
Nervous System,Sympathetic uveitis,Spared Eye Injury,S,,,75315001,,,
Musculoskeletal,Ankylosing spondylitis,Spondyloarthritis,S,,,9631008,,,
Vascular system,Moyamoya disease,Spontaneous occlusion of the Circle of Willis,S,,,69116000,,,
Musculoskeletal,Inclusion Body Myositis,Sporadic Inclusion Body Myositis,S,,,72315009,,,
Musculoskeletal,Rheumatic chorea,St. Vitus Dance,S,,,46826000,,,
Liver,Primary sclerosing cholangitis,Stenosing cholangitis,S,,,197441003,,,
Heart,Subacute bacterial endocarditis,Subacute infective endocarditis,S,,,73774007,,,
Heart,Subacute bacterial endocarditis,Subacute native valve endocarditis,S,,,73774007,,,
Musculoskeletal,Felty syndrome,Super rheumatoid disease,S,,,57160007,,,
Skin,Hidradenitis suppurativa,Suppurative hidradenitis,S,,,59393003,,,
Vascular system,Retinocochleocerebral vasculopathy,Susac syndrome,S,,,702575003,,,
Nervous System,Sympathetic uveitis,Sympathizing Eye,S,,,75315001,,,
Musculoskeletal,Rheumatic chorea,Syndenham chorea,S,,,46826000,,,
Musculoskeletal,Relapsing polychondritis,Systemic chondromalocia,S,,,72275000,,,
Nervous System,Chronic Fatigue Syndrome,Systemic exertion intolerance disease,S,,,52702003,,,
Nervous System,POEMS syndrome,Takatsuki syndrome,S,,,79268002,,,
Nervous System,Tolosa-Hunt syndrome,THS,A,,,95794005,,,
Nervous System,Ophthalmoplegia due to Graves' disease,Thyroid-Associated orbitopathy,S,,,1.04461E+14,,,
Glands,Graves' disease,Toxic diffuse goiter,S,,,353295004,,,
Nervous System,Balo concentric sclerosis,Tumefactive multiple sclerosis,S,,,230380005,,,
Pancreas,Autoimmune pancreatitis,Tumefactive pancreatitis,S,,,448542008,,,
Pancreas,Diabetes mellitus type 1,Type 1 diabetes,S,,,46635009,,,
Systemic,Undifferentiated connective tissue disease,UCTD,A,,,239918008,,,
Systemic,Undifferentiated connective tissue disease,Undifferentiated connective tissue syndrome,S,,,239918008,,,
Nervous System,Intermediate uveitis,Vitritis,S,,,314429009,,,
Musculoskeletal,Relapsing polychondritis,Von Meyenburg disease,S,,,72275000,,,
Vascular system,Antineutrophil cytoplasmic antibody positive vasculitis,Wegener's Granulomatosis,S,,,195353004,,,
Glands,Polyglandular autoimmune syndrome type 1,Whitaker syndrome,S,,,11244009,,,
